kod,vyucujici,role,obdobi,odpovedelo,zapsano,srozumitelnost,usporadanost,zajimavost,vztah_ke_studentum,kvalita_materialu,korektnost,obtiznost,znalosti_studentu,ucast,priprava,kazen,rec,literatura,celkove_predmet,celkove_vyucujici,otazka19
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2007 / zimní,14,61,"1,07","1,07","1,43","1,36","1,14","1,38","2,42","1,62",,,,,,,,
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2008 / zimní,7,65,"1,14","1,00","1,29","1,86","1,57","1,57","2,43","2,00",,,,,,,,
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2010 / zimní,8,51,"1,25","1,13","1,25","1,38","1,00","1,00","2,25","1,63",,,,,,,,
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2011 / zimní,14,71,"1,36","1,29","1,79","1,50","1,57","1,36","2,50","2,00",,,,,,,,
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2012 / zimní,13,73,"1,15","1,00","1,23","1,15","1,08","1,30","2,30","1,67",,,,,,,,
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2013 / zimní,24,78,"1,29","1,29","1,54","1,21","1,33",,"2,58","2,25",,,,,,,,
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2014 / zimní,15,50,"1,40","1,13","1,33","1,07","1,27","1,33","2,20","1,73",,,,,"1,53",,,
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2015 / zimní,19,57,,,,,,,,,,,,,,"1,47",,
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2016 / zimní,19,56,,,,,,,,,,,,,,"1,16",,
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2017 / zimní,19,74,,,,,,,,,,,,,,"1,32",,
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2018 / zimní,17,89,,,,,,,,,,,,,,"1,29",,
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2019 / zimní,14,84,,,,,,,,,,,,,,"1,36",,
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2020 / zimní,16,64,,,,,,,,,,,,,,"1,19",,
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2021 / zimní,13,91,,,,,,,,,,,,,,"1,23",,
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2022 / zimní,10,67,,,,,,,,,,,,,,"1,80",,
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2023 / zimní,9,81,,,,,,,,,,,,,,"1,11",,
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2024 / zimní,17,132,,,,,,,,,,,,,,"1,29",,
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,2025 / zimní,15,124,,,,,,,,,,,,,,"1,60",,
NAIL069,"Adam Dingle, M.Sc.",cvičení,2018 / zimní,12,89,,,,,,,,,,,,,,"1,33",,
NAIL069,"Adam Dingle, M.Sc.",cvičení,2019 / zimní,11,84,,,,,,,,,,,,,,"1,00",,
NAIL069,"Adam Dingle, M.Sc.",cvičení,2020 / zimní,9,64,,,,,,,,,,,,,,"1,00",,
NAIL069,"RNDr. Jiří Fink, Ph.D.",cvičení,2021 / zimní,10,91,,,,,,,,,,,,,,"2,00",,
NAIL069,"Mgr. Jakub Gemrot, Ph.D.",cvičení,2015 / zimní,19,57,,,,,,,,,,,,,,"2,42",,
NAIL069,"Mgr. Jakub Gemrot, Ph.D.",cvičení,2016 / zimní,11,56,,,,,,,,,,,,,,"1,64",,
NAIL069,"Mgr. Jakub Gemrot, Ph.D.",cvičení,2017 / zimní,12,74,,,,,,,,,,,,,,"1,00",,
NAIL069,"RNDr. Jiří Švancara, Ph.D.",cvičení,2021 / zimní,10,91,,,,,,,,,,,,,,"2,00",,
NAIL069,"RNDr. Jiří Švancara, Ph.D.",cvičení,2022 / zimní,10,67,,,,,,,,,,,,,,"1,50",,
NAIL069,"RNDr. Jiří Švancara, Ph.D.",cvičení,2023 / zimní,10,81,,,,,,,,,,,,,,"1,00",,
NAIL069,"RNDr. Jiří Švancara, Ph.D.",cvičení,2024 / zimní,15,132,,,,,,,,,,,,,,"1,27",,
NAIL069,"RNDr. Jiří Švancara, Ph.D.",cvičení,2025 / zimní,16,124,,,,,,,,,,,,,,"1,50",,
NAIL069,"RNDr. Ing. Otakar Trunda, Ph.D.",cvičení,2016 / zimní,8,56,,,,,,,,,,,,,,"1,75",,
NAIL069,"RNDr. Ing. Otakar Trunda, Ph.D.",cvičení,2018 / zimní,5,89,,,,,,,,,,,,,,"1,60",,
NAIL069,"RNDr. Ing. Otakar Trunda, Ph.D.",cvičení,2019 / zimní,10,84,,,,,,,,,,,,,,"2,10",,
NAIL069,"RNDr. Ing. Otakar Trunda, Ph.D.",cvičení,2020 / zimní,10,64,,,,,,,,,,,,,,"1,80",,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2004 / zimní,15,61,"2,33","2,07","1,93","1,33","1,93","1,25","1,82","2,00",,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",cvičení,2015 / zimní,20,57,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",cvičení,2016 / zimní,19,56,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",cvičení,2017 / zimní,18,74,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",cvičení,2018 / zimní,17,89,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",cvičení,2019 / zimní,21,84,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2015 / zimní,21,57,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2016 / zimní,19,56,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2017 / zimní,19,74,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2018 / zimní,17,89,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2019 / zimní,15,84,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",cvičení,2020 / zimní,19,64,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",cvičení,2021 / zimní,12,91,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",cvičení,2022 / zimní,11,67,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",cvičení,2023 / zimní,10,81,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",cvičení,2024 / zimní,15,132,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",cvičení,2025 / zimní,18,124,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2020 / zimní,16,64,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2021 / zimní,13,91,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2022 / zimní,11,67,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2023 / zimní,10,81,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2024 / zimní,17,132,,,,,,,,,,,,,,,,
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2025 / zimní,18,124,,,,,,,,,,,,,,,,
NTIN066,"doc. Andreas Emil Feldmann, Dr.",přednáška,2016 / zimní,10,81,,,,,,,,,,,,,,"3,50",,
NTIN066,"RNDr. Jiří Fink, Ph.D.",přednáška,2016 / zimní,15,81,,,,,,,,,,,,,,"2,47",,
NTIN066,"RNDr. Jiří Fink, Ph.D.",přednáška,2017 / zimní,16,133,,,,,,,,,,,,,,"4,38",,
NTIN066,"RNDr. Jiří Fink, Ph.D.",přednáška,2018 / zimní,19,80,,,,,,,,,,,,,,"2,89",,
NTIN066,"RNDr. Jiří Fink, Ph.D.",cvičení,2023 / zimní,6,104,,,,,,,,,,,,,,"2,17",,
NTIN066,"RNDr. Jiří Fink, Ph.D.",cvičení,2024 / zimní,7,151,,,,,,,,,,,,,,"1,71",,
NTIN066,"RNDr. Jiří Fink, Ph.D.",přednáška,2022 / zimní,8,66,,,,,,,,,,,,,,"2,13",,
NTIN066,"RNDr. Jiří Fink, Ph.D.",přednáška,2024 / zimní,16,151,,,,,,,,,,,,,,"2,69",,
NTIN066,"doc. Mgr. Petr Gregor, Ph.D.",přednáška,2019 / letní,7,17,,,,,,,,,,,,,,"1,43",,
NTIN066,"doc. Mgr. Petr Gregor, Ph.D.",přednáška,2020 / zimní,19,73,,,,,,,,,,,,,,"1,37",,
NTIN066,"doc. Mgr. Petr Gregor, Ph.D.",přednáška,2021 / letní,5,35,,,,,,,,,,,,,,"1,60",,
NTIN066,"doc. Mgr. Petr Gregor, Ph.D.",přednáška,2023 / letní,6,27,,,,,,,,,,,,,,"2,33",,
NTIN066,"RNDr. Radek Hušek, Ph.D.",cvičení,2018 / letní,5,28,,,,,,,,,,,,,,"1,40",,
