kod,vyucujici,role,datum,rocnik,program,text
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,15.02.2026,1. Ročník,Informatika - Umělá inteligence,"Přednášející je svým výkladem velmi silný, kvalitně předává sylabus."
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,15.02.2026,1. Ročník,Computer Science - Artificial Intelligence,"The professor has great depth in the topics, and he makes the lecture engaging"
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,12.02.2026,1. ročník,Bioinformatika,"Pan profesor Barták má velmi strukturovaný a přehledný výklad, hodiny mi přišly moc fajn, jediné co bych vytkla je přetahování na konci přednášek."
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,02.02.2026,1. ročník,Informatika - Umělá inteligence,"Skvělé prezentování, pan Barták umí výborně předat informace."
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,13.01.2026,1. ročník,Bioinformatika,"Přednášky mi přišly zprvu fajn, ale později už jsem přestala profesorovo tempo stíhat. Nejsem z oboru umělé inteligence a většina pojmů pro mě byla nová. Pro úplnost, předpoklady toho předmětu, znalost výrokové a predikátové logiky, splňuji. Odpovídající předmět jsem absolvovala. ""Přespolnost"" mého studia se na zkoušce velmi projevila. Nechci rozporovat jakékoliv hodnocení, ale bohužel zkouška se celá dle profesorova pohledu a tónu nesla v duchu: ""Nesypete to jako básničku verš po verši. Jak to, že jste tady?"" Pan profesor dokonce i řekl: ""Eh, nejste matfyzák. Prostě na to nemáte hlavu."" To asi nikdo nechce na zkoušce takto slyšet, ať je nebo není matfyzák a jeho výkon na zkoušce je jakýkoliv. Dodám, že pan profesor snad zachytil, že to nebyl dobrý komentář. Doporučení ostatním studentům, zdá se mi, že je lepší umět jen některá témata, ale do posledního detailu a porovnání."
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,16.02.2025,1. ročník,Informatika - Umělá inteligence,"Myslím, že tady došlo k nějaké špatné interpretaci. Nikdy jsem žádnému studentovi neřekl, že ""na to nemá hlavu"", a rozhodně při zkoušce nechci „recitovat“ ze slajdů jako básničku. Důležité je porozumění látce a zdánlivý „detail“ může být klíčový. Chtěl bych také varovat před doporučením naučit se jen jedno téma, pravděpodobnost, že ho dostanete u zkoušky, je poměrně malá."
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,09.01.2025,1. ročník,Informatika - Umělá inteligence,Pán Barták je výborný přednášející :)
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,18.02.2024,1. Ročník,Computer Science - Artificial Intelligence,"Explains everything into smaller details. Asks great questions, which test your understanding of the subject. On the exam that can be a little annoying, but I feel like I learned a lot!"
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,18.02.2024,1. Ročník,Informatika - Umělá inteligence,"Masterful explanations, helpful answers to the students questions and doubts. The evaluation was fair and thorough. Just Excellent."
NAIL069,"RNDr. Jiří Fink, Ph.D.",cvičení,13.01.2026,1. ročník,Bioinformatika,"Velmi oceňuji jeho snahu přizpůsobit hodinu lidem, které učil. Po větsinou jsme nebyli bakalářští informatici, ale třeba bioinformatici, jejichž studijní program je jiný. Byl přizpůsobivý i tomu, že člověk potřebuje jiné vysvětlení, aby se chytl. Hodiny mě bavily. Požadavky na zápočet mi připadají přiměřené."
