kod,komentaru,od_data,do_data,prumer,plus,minus,souhrn,varovani
NTIN090,28,05.01.2024,15.02.2026,,"Materiály jsou výjimečné: slajdy, skripta i nahrávky, ke zkoušce stačí|Přednášky se nahrávají, dají se zrychlit nebo přeskočit známé pasáže|Zveřejněný seznam všech možných zkouškových otázek a jasná kritéria zakončení|Zkouška spíše jednoduchá, hodnocení detailů shovívavé|Domácí úkoly akorát těžké, hodnocení férové až mírné, možnost oprav|Řešení úloh ze cvičení se dávají na Moodle, absence tedy nevadí","Látka je abstraktní a náročná, sama o sobě moc nepomáhá|Přednáška zbytečně opakuje části látky z bakaláře|Důkazy jsou dlouhé, na konci se ztrácí, co se vlastně dokazovalo|Prezentace mají 50–90 slidů, materiál je roztříštěný bez souhrnných přehledů|Cvičení druhé paralelky pokročilejší, občas nebylo jasné, co se chce|Někomu naopak přišla cvičení i úkoly velmi jednoduché","Předmět s nadstandardními materiály (slajdy, skripta, nahrávky) a transparentní zkouškou včetně zveřejněných otázek; látka je abstraktní, ale samostudium je z materiálů reálné.","Cvičební paralelky se popisují velmi odlišně (jedna dává řešení na Moodle, druhá je pokročilejší a méně čitelná) — připomínky ke cvičením nelze slučovat."
NTIN066,22,13.01.2024,15.02.2026,,"Cvičení navazují na přednášku a přidávají praktický kontext navíc|Zadání cvičení i jejich řešení jsou na webu, absence se dá dohnat|Úkoly se opravují rychle a s komentářem, jak řešení vylepšit|Hodnocení úkolů není přísné, vstřícnost i při odevzdání po termínu|Zveřejněný seznam kombinací otázek ke zkoušce|K dispozici jsou nahrávky a skripta, i starší od dr. Mareše|Úkoly nejsou jen teoretické, experimentální úlohy jsou zajímavé","Nahrávky přednášek často selhaly (špatný zvuk, záznam se neuložil)|Bez nahrávek jsou slidy neúplné a na zkoušku nedostačující|Struktura některých přednášek je chaotická, špatně se z nich píší poznámky|Zkouškové otázky jsou vágní, hloubka požadavků není specifikovaná|Náhodné dělení do skupinek na cvičení nefunguje, když skupina stagnuje|Čas na cvičení bývá špatně rozvržený, řešení se na konci jen prolétne|Na prvním cvičení se dlouho řešilo opisování do ReCodExu","Zaběhnutý předmět s množstvím materiálů a veřejnými zkouškovými otázkami; slabinou jsou nespolehlivé nahrávky, chaotičtější přednes a nejasná hloubka požadavků u zkoušky.","Připomínky pokrývají tři různé přednášející napříč roky (Mareš do 2024, Fink 2025, Veselý 2026) — materiály i podmínky zkoušky se s nimi měnily."
NMAI073,12,05.02.2024,15.02.2026,,"Přednášky se nahrávají, dá se z nich doplnit, co na místě uniklo|U zkoušky je povolený tahák (formula sheet)|Ze cvičení se dají získat bonusové body ke zkoušce|Cvičení začíná zopakováním teorie z přednášky|Domácí úkoly a průběžné testy navazují na cvičení, zápočet není složité získat|Ukazují se praktická využití, vizualizace a doprovodné programy","Zkouška vyžadovala i důkazy, které na přednášce nezazněly a ve skriptech chyběly|Skripta byla nedokončená, odkazy na lecture notes místy nikam nevedly|Podmínky zkoušky byly upřesněné až na začátku zkouškového, ne semestru|Zápočet stojí na dvou testech, ne na domácích úkolech|Na přednášce nebylo vždy jasné, k jaké teorii se příklady vážou|Opravování domácích úkolů dřív vázlo","Statistika s dobrým zázemím pro samostudium (nahrávky, tahák, bonusové body ze cvičení); starší připomínky ale hlásí zkoušku nad rámec přednášky a nekompletní skripta.","Většina připomínek se váže k dřívějšímu přednášejícímu (Šámal, do 2025); od 2026 přednáší Rozhoň a cvičí Tkadlec, výtky ke skriptům a zkoušce nemusí platit."
NPFL138,9,29.05.2024,10.09.2025,,"Kurz je výborně organizovaný, témata na sebe logicky navazují|Úlohy a soutěže jsou skvěle vybrané, šablony návodné, datasety zvládnutelné|Na cvičení se rozebírají výsledky úloh a soutěží a vysvětlují nová zadání|Cvičení ukazuje nejen řešení, ale i co se zkoušelo a jak to dopadlo|Obsah je udržovaný aktuální a přímo použitelný v praxi|Deadline úlohy jde po odůvodněné žádosti posunout|Slidy obsahují mnoho názorných ukázek výstupů algoritmů","Tempo je rychlé a úlohy časově náročné, hlavně ke konci semestru|Vedle kurzu se dá zvládnout jen 4–5 opravdu lehkých předmětů bez průběžné práce|Přednáška občas postupuje moc rychle kvůli objemu látky|Struktuře by prospělo víc opakování a intuice před vzorci","Podle ankety jeden z nejlépe postavených kurzů na fakultě, těžiště je v domácích úlohách a soutěžích; cenou je vysoká časová náročnost a rychlé tempo.","Část připomínek nemá v SIS uvedené datum, rozsah dat je proto počítaný jen z těch datovaných."
NAIL002,8,18.02.2024,15.02.2026,,"Prezentace jsou hezké a existují i v české verzi|Praktická cvičení s tužkou a papírem pomáhají zvizualizovat výpočty v sítích|Na cvičení bylo dobře vysvětlené statistické porovnání dvou modelů sítě|Zkouška je vstřícná, nestihnutá písemná část se dořeší ústně","Cvičení jsou podle připomínky z 2026 kvalitou podprůměrná|Testy, testíky, domácí úkoly i kód na cvičení se každý rok recyklují|Recyklovaná zadání obsahují chyby, občas i vlastní řešení|Na cvičení se dělají jen toy příklady, žádná pořádná natrénovaná síť|Hodnocení se skládá z mnoha částí: kvízy, domácí úkoly, průběžné testy, semestrální projekt, body ze cvičení, body z přednášky a zkouška|Body jsou nepřehledně rozházené v Moodlu spolu se starými odkazy z minulých let|Záznamy pokrývaly jen polovinu semestru a přehrávání v Moodlu bylo poruchové|Matematické zápisy na slidech jsou nekonzistentní a matoucí|Část přednášek je o vlastních paperech přednášející a o tématech mimo předmět","Obsahově zajímavý, ale organizačně slabý předmět: roztříštěné bodování v Moodlu, recyklovaná zadání cvičení a jen toy příklady; oporou jsou prezentace a vstřícná zkouška.","Do 2025 je anketa převážně kladná, dvě připomínky z 2026 (jedna ke cvičením, jedna k přednášce) jsou výrazně kritické."
NAIL069,7,18.02.2024,15.02.2026,,"Domácí úkoly jsou zajímavé, s dobře okomentovaným kódem, náročné, ale přínosné|Cvičení opakuje pojmy z přednášky a prochází zadání domácích úkolů|Cvičení se přizpůsobuje i studentům mimo obor umělé inteligence|Požadavky na zápočet jsou přiměřené|Zkouška testuje porozumění, při přípravě se člověk hodně naučí","Tempo přednášek je pro studenty mimo obor rychlé, pojmů je hodně nových|Přednášky se protahují přes konec|Zkouška jde do detailů, přehledová znalost nestačí",Předmět s dobře postavenými cvičeními a úkoly a s přiměřeným zápočtem; nároky u zkoušky jsou detailní a tempo přednášek je pro studenty mimo obor rychlé.,"Jedna z 19 připomínek (16.02.2025) je ve skutečnosti reakce prof. Bartáka na studentskou stížnost, ne studentský hlas — do počtu není zahrnuta."
NPFL147,6,15.01.2026,15.02.2026,,"Kvízy ze cvičení jde dělat na dálku, mají i slovní vysvětlení|Ke cvičení je možnost konzultace, kterou skoro nikdo nevyužívá","Úkoly se opravují týdny až měsíce, první úloha až dva měsíce po deadlinu|Hodnocení úloh je jen bodové, bez zdůvodnění a bez správného řešení|Kvůli pozdním opravám nejde průběžně odhadnout známku|Cvičení je podle připomínky zbytečné, účast nepřináší nic navíc|Přednáška spíš čte vzorce ze slidů, chybí vysvětlení proč",Anketa z 2026 je k organizaci předmětu kritická: velmi pomalé opravování úkolů bez zpětné vazby a cvičení popsané jako zbytečné; kvízy jde dělat na dálku.,Všech šest použitých připomínek pochází z jediného období (leden–únor 2026).
NAIL025,4,06.02.2024,16.02.2025,,"Úlohy na cvičení jsou dobře udělané|Zkouška probíhá bez stresu, hodnocení odpovídá vynaložené přípravě","Na cvičeních by šlo probrat víc obsahu nebo přidat interaktivní úlohy|Vícekriteriální optimalizace (NSGA I–III, MOEA/D) by potřebovala víc než jednu hodinu|Průběh písemné části zkoušky působil vůči nepoctivosti rezignovaně","Anketa je k předmětu velmi kladná, ale skoro celá mluví o vyučujících; k předmětu samotnému zaznívá jen přání víc obsahu na cvičeních a víc času na vícekriteriální optimalizaci.","Z 30 připomínek se předmětu jako takového týkají jen 4, zbytek hodnotí osobně Nerudu a Piláta."
NPFL123,4,23.07.2024,27.08.2025,,Stránka kurzu popisuje zadání domácích úkolů detailně|Deadliny úkolů jdou po domluvě posunout,"Opravování úkolů je opakovaně ve velkém skluzu, trvá dlouho|Cvičení nepřidávají nad rámec webu kurzu skoro nic, jen vysvětlují zadání",Kurz stojí na dobře zpracovaném webu a na úkolech s vstřícnými termíny; opakovaně se ale kritizuje pomalé opravování a nízký přínos cvičení.,
NDBI048,4,27.01.2025,14.01.2026,,Přednášky i cvičení vedou z velké části lidé z praxe (Profinit)|Zkouška je optimálně těžká a hodnocena vstřícně|Vstřícné je i nastavení termínu reportu,,"Malý, ale jednoznačně kladný vzorek: výuku z velké části vedou lidé z Profinitu, zkouška je přiměřená a hodnocení vstřícné.",Vzorek jsou čtyři připomínky ze dvou ročníků.
NDBI023,3,13.06.2023,05.06.2025,,"Cvičení jsou praktická, látku si člověk sám vyzkouší|Studenti mohou prezentovat vlastní řešení a diskutovat ho s ostatními|Ze cvičení si lidé odnesli víc, než čekali",,"Tři kladné připomínky, všechny ke cvičením: praktická, interaktivní a s prezentací vlastních řešení.",
NPFL139,2,05.06.2025,05.06.2025,,"Cvičení ukazují nejen výsledné řešení, ale i co se zkoušelo a jak to dopadlo|Obsah přednášek je udržovaný aktuální i na rychle se měnící téma",,"Ze čtyř připomínek jsou dvě o vyučujícím; k předmětu samotnému zaznívá aktuálnost obsahu a formát cvičení, obojí kladně.",
NPFL097,2,10.01.2026,12.02.2026,,Úkoly se opravují včas a hodnocení je férové,Přednášky jsou hodně matematické a málo rozložené na menší kroky|Chybí intuitivní příklad ke každému probíranému algoritmu,"Dvě připomínky z 2026: obsah je matematicky náročný a na přednášce málo vysvětlený, hodnocení úkolů je naopak férové a včasné.",
NAIL106,2,28.05.2023,13.06.2023,,Cvičení jsou zajímavá a dobře doplňují přednášky|Počet kreditů odpovídá probranému rozsahu látky,,Dvě kladné připomínky z 2023: cvičení dobře doplňují přednášky a kreditové ohodnocení odpovídá rozsahu.,
