kod,vyucujici,role,uci_v_zs,komentaru,od_data,do_data,plus,minus,souhrn,rozpor
NAIL002,"RNDr. František Mráz, CSc.",cvičení,1,7,18.02.2024,15.02.2026,"Střídá formy práce a vyzývá studenty, aby nahráli a obhájili vlastní řešení|Trpělivě pomáhá i těm, kdo látku nezvládají, a všímá si přehlédnutých chyb|Statistické srovnávání modelů vykládá formálně a precizně na tabuli|Ochotný pomoci kdykoli","Bodování je roztříštěné do mnoha složek a nepřehledně rozházené v Moodlu se starými odkazy z minulých let|Podle připomínky z ledna 2026 se probírají jen hračkové příklady, žádná pořádná neuronová síť se netrénovala|Testy, úkoly i kód na cvičení se podle připomínky z února 2026 každoročně recyklují, občas s chybami nebo rovnou s řešením","Cvičení jsou interaktivní a vyučující vstřícný, ale organizace bodování a aktuálnost materiálů jsou opakovaně kritizovány. Počítej s nutností si sám hlídat, kolik máš bodů.","Připomínky z let 2024 a 2025 cvičení chválí, dvě z roku 2026 je označují za kvalitou velmi podprůměrná kvůli recyklovaným materiálům a jen hračkovým příkladům."
NAIL002,"RNDr. František Mráz, CSc.",přednáška,1,3,18.02.2024,09.02.2025,"Na dotazy odpovídá přímo a úsporně, často stačí jeden náčrtek na tabuli|Zadání dobře zapadají do obsahu kurzu|Přátelský a nápomocný přístup",,"Tři připomínky, všechny kladné: výklad i odpovědi na dotazy jsou přesné a bez zbytečností.",
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",cvičení,1,1,18.02.2024,18.02.2024,Ruční počítání na papíře pomohlo zviditelnit abstraktní výpočty v neuronových sítích a asociativních pamětech,,"Jediná připomínka, kladná: oceňuje procvičování výpočtů tužkou na papíře.",
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,1,5,18.02.2024,15.02.2026,"Slidy jsou hezké a existují i v české verzi|Zkouška je příjemná, nestihnutá písemná část se dořeší ústně|Podle připomínky z roku 2024 vysvětluje každý pojem do detailu a trpělivě odpovídá na dotazy","Tichý projev, zajímavé pasáže slyší jen první lavice|Mnoho odboček (biologie, hudba, báje), látka by se podle jedné připomínky vešla do poloviny času|Nekonzistentní matematické zápisy, záznamy pokrývají jen polovinu semestru a v Moodlu se špatně přehrávají|Podle připomínky z roku 2026 chodí pravidelně o 10 až 15 minut pozdě, část přednášek věnuje vlastním článkům a zabíhá do politických témat mimo předmět","Slidy a zkouška jsou hodnoceny dobře, samotný výklad ale spíš ne: pomalé tempo, tichý projev a hodně odboček.","Připomínka z roku 2024 chválí důkladnost výkladu, novější z let 2025 a 2026 tvrdí, že si z přednášky student moc neodnese, a přidávají kritiku zpoždění a témat mimo předmět."
NAIL025,"Mgr. Roman Neruda, CSc.",přednáška,1,13,16.01.2024,15.02.2026,"Charismatický a zapálený přednes, vtipy a metafory udrží pozornost|Vše vysvětluje na příkladech a ujišťuje se, že látce studenti rozumí|Odpovídá na každý dotaz, je znát hloubka znalostí|Několik studentů označuje jeho přednášky za nejlepší, jaké na magisterském studiu měli","Občas se zdrží u detailů nebo naváže několik vtipů za sebou bez posunu tématu|Jedna připomínka z roku 2025 zmiňuje rezignovaný průběh písemné části zkoušky, což může demotivovat poctivé studenty","Konzistentně nadšené hodnocení od roku 2024 do 2026. Čekej zábavnou, intuitivně vedenou přednášku; výhrady míří jen na občasné odbočky a na hlídání písemky.",
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,1,10,11.01.2024,15.02.2026,"Vysvětluje srozumitelně a vše potřebné rád zopakuje|Otevřený přístup, dostupný na hodině i e-mailem|Atmosféra umožňuje ptát se na cokoli|Opakovaně označen za jednoho z nejlepších učitelů",Jedna připomínka z roku 2024 by uvítala více obsahu nebo interaktivních aktivit na hodině,"Deset připomínek z let 2024 až 2026, prakticky bez výhrad: klidná, srozumitelná cvičení, kde se dá bez ostychu ptát.",
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",přednáška,1,7,18.02.2024,15.02.2026,"Jasný a srozumitelný výklad, reaguje na dotazy k tématu|Ptá se a odpovídá na otázku proč, ne jen jak|Věnuje se studentům individuálně a je znát, že ho téma baví|Zkoušení probíhá bez stresu a hodnocení působí férově",Jedna připomínka z roku 2024 by uvítala pomalejší a hlubší probrání vícekriteriální optimalizace ve dvou blocích místo jednoho,"Přednášková část je hodnocena stejně dobře jako cvičení: důraz na porozumění a férová, klidná zkouška.",
NAIL029,"Mgr. Marta Vomlelová, Ph.D.",přednáška,0,2,26.06.2024,06.08.2025,"Znalá a pohotová, odpovědi jdou nad rámec látky a přitom objasňují přednášku|Vítá i velmi základní dotazy a trpělivě je zodpovídá|Počáteční nejistota v průběhu semestru zmizela","Zpočátku semestru působila váhavě, studenti by uvítali hlasitější a sebejistější projev",Dvě obsahově velmi podobné kladné připomínky; jedinou výhradou je tišší a zpočátku nejistý projev.,
NAIL069,"RNDr. Jiří Fink, Ph.D.",cvičení,1,1,13.01.2026,13.01.2026,"Přizpůsobil hodinu studentům mimo informatiku a hledal jiná vysvětlení, když se někdo nechytal|Požadavky na zápočet působí přiměřeně",,"Jediná připomínka, z roku 2026 a kladná: oceňuje přizpůsobení výkladu nematfyzáckému publiku.",
NAIL069,"RNDr. Jiří Švancara, Ph.D.",cvičení,1,9,02.01.2024,15.02.2026,"Živá diskuse nad tématem, ochota kdykoli pomoci a rychlá reakce osobně i online|Opakuje látku z přednášky a prochází zadání domácích úkolů|Zajímavé úlohy s pečlivě okomentovaným kódem, úkoly náročné ale přínosné|Zvládl i zástup za přednášku, včetně technických potíží se slidy",,"Devět připomínek z let 2024 až 2026, všechny kladné; cvičení dobře drží krok s přednáškou.",
