kod,paralelka,typ,jazyk,zapsano,kapacita,skupiny
NAIL002,26aNAIL002p1,P,angličtina,0,38,M#17NBINF4 M#18NBINF4 M#19NBINF5 N#IN320 N#IN620 N#IN914 N#IN952
NAIL002,26aNAIL002p1b,P,angličtina,0,38,M#17NBINF4 M#18NBINF4 M#19NBINF5 N#IN320 N#IN620 N#IN914 N#IN952
NAIL002,26aNAIL002x01,X,angličtina,0,19,M#17NBINF4 M#18NBINF4 M#19NBINF5 N#IN320 N#IN620 N#IN914 N#IN952
NAIL002,26aNAIL002x02,X,angličtina,0,19,M#17NBINF4 M#18NBINF4 M#19NBINF5 N#IN320 N#IN620 N#IN914 N#IN952
NAIL004,26aNAIL004x01,X,čeština,0,,N#IN914 N#IN952
NAIL021,26aNAIL021p1,P,čeština,0,,N#IN320 N#IN620 N#IN914 N#IN920 N#IN921 N#IN922 N#IN952 N#MM309 N#MM509 N#MM609 N#XI320 N#XI620 N#XI914 N#XI920 N#XI921 N#XI922 N#XI952 N#XL309 N#XL509 N#XL609
NAIL025,26aNAIL025p1,P,angličtina,0,,N#IN320 N#IN620 N#IN914 N#IN952
NAIL025,26aNAIL025x01,X,angličtina,0,25,N#IN320 N#IN620 N#IN914 N#IN952
NAIL025,26aNAIL025x02,X,angličtina,0,25,N#IN320 N#IN620 N#IN914 N#IN952
NAIL025,26aNAIL025x03,X,čeština,0,25,N#IN320 N#IN620 N#IN914 N#IN952
NAIL069,26aNAIL069p1,P,čeština,0,,M#17NBINF4 M#18NBINF4 M#19NBINF5 N#IN320 N#IN620 N#IN914 N#IN916 N#IN952 N#IN953
NAIL069,26aNAIL069p2,P,angličtina,0,50,M#17NBINF4 M#18NBINF4 M#19NBINF5 N#IN320 N#IN620 N#IN914 N#IN916 N#IN952 N#IN953
NAIL069,26aNAIL069x01,X,angličtina,0,0,M#17NBINF4 M#18NBINF4 M#19NBINF5 N#IN320 N#IN620 N#IN914 N#IN916 N#IN952 N#IN953
NAIL069,26aNAIL069x02,X,čeština,0,30,M#17NBINF4 M#18NBINF4 M#19NBINF5 N#IN320 N#IN620 N#IN914 N#IN916 N#IN952 N#IN953
NAIL069,26aNAIL069x03,X,čeština,0,30,M#17NBINF4 M#18NBINF4 M#19NBINF5 N#IN320 N#IN620 N#IN914 N#IN916 N#IN952 N#IN953
NAIL069,26aNAIL069x04,X,čeština,0,30,M#17NBINF4 M#18NBINF4 M#19NBINF5 N#IN320 N#IN620 N#IN914 N#IN916 N#IN952 N#IN953
NAIL069,26aNAIL069x05,X,čeština,0,0,M#17NBINF4 M#18NBINF4 M#19NBINF5 N#IN320 N#IN620 N#IN914 N#IN916 N#IN952 N#IN953
NAIL087,26aNAIL087p1,P,angličtina,0,,N#IN320 N#IN620 N#IN914 N#IN952 N#XI320 N#XI620 N#XI914 N#XI952
NAIL087,26aNAIL087x01,X,angličtina,0,,N#IN320 N#IN620 N#IN914 N#IN952 N#XI320 N#XI620 N#XI914 N#XI952
NAIL099,26aNAIL099x01,X,čeština,0,,
NAIL099,26aNAIL099x02,X,čeština,0,,
