kod,vrstva,zamereni,skupina,szz,plan_semestr,stav,poznamka
NAIL069,A,vse,povinny,-,,,"Povinný předmět programu. Prohledávání, hry, CSP, plánování."
NTIN066,A,vse,povinny,-,,,Povinný. Lze zapsat v ZS i LS; česky se učí jen v ZS, anglicky jen v LS.
NTIN090,A,vse,povinny,-,,,Povinný. Neslučitelný s NTIN062 (viz SIS).
NAIL070,A,vse,povinny,-,,,"Povinný, jen zkouška. Navazuje na NAIL069."
NSZZ023,A,vse,povinny,-,,,Diplomová práce I. Zápočet uděluje vedoucí DP.
NSZZ024,A,vse,povinny,-,,,Diplomová práce II.
NSZZ025,A,vse,povinny,-,,,Diplomová práce III.
NAIL002,A,SU,profilujici,NS,,,"Doporučený k okruhu Neuronové sítě — Hopfield, SOM, RBF, asociativní paměti."
NAIL060,X,SU,profilujici,NS,,nevyučován (SIS 2026/27),"Doporučený k okruhu NS, ale SIS ho vede jako nevyučovaný a na ZS 2026/27 nemá jediný rozvrhový lístek. Před zápisem ověřit, jestli se neotevřel."
NAIL013,A,SU,profilujici,NS,,,"Doporučený k okruhu NS, levné 2/0 Zk."
NAIL029,A,SU,profilujici,SU,,,Doporučený k okruhu Strojové učení a jeho aplikace.
NPFL147,A,SU,profilujici,SU,,,"Doporučený k okruhu SU: strojové učení v počítačové lingvistice; zaměnné s NPFL067."
NAIL025,A,SU,profilujici,SU,,,"Doporučený k okruhu SU: evoluční algoritmy, stavební bloky a koevoluce. Zároveň okruh Přírodou inspirované počítání (Inteligentní agenti)."
NAIL107,A,SU,profilujici,SU,,,"Doporučený k okruhu SU: biologické sekvence (motivy v DNA, HMM, proteiny)."
NDBI023,A,SU,profilujici,DZ,,,Doporučený k okruhu Dobývání znalostí.
NAIL116,A,SU,profilujici,DZ,,,"Doporučený k okruhu DZ: analýza sociálních sítí, míry centrality, detekce komunit."
NAIL105,A,SU,profilujici,DZ,,,"Doporučený k okruhu DZ, nejlevnější doplnění okruhu."
NPFL138,C,vse,rozsirujici,NS,,,"Hluboké učení (Straka, ÚFAL), 8 kr. Neslučitelný s NPFL114. Nejtěžší a nejvíc citovaný DL předmět na fakultě."
NPFL139,C,vse,rozsirujici,SU,,,"Zpětnovazební učení (ÚFAL). Neslučitelný s NPFL122."
NMAI073,C,vse,volitelny,-,,,"Pravděpodobnost a statistika pro informatiky. Přednáší Rozhoň, cvičí Tkadlec (nejlepší hodnocení v celé sadě)."
NAIL104,C,IA,profilujici,SU,,,"Bayesovské sítě a inference, 3 kr za 2/0 Zk. Patří i k okruhu Reprezentace znalostí (Inteligentní agenti)."
NAIL138,C,vse,rozsirujici,NS,,,"Holeňa; neuronové sítě a náhodnost. Pozor: prázdné podmínky v SIS a žádný rozvrhový lístek s časem — výuka nejspíš po domluvě."
NPFL140,C,vse,volitelny,-,,,"Velké jazykové modely, jen zápočet 0/2, ÚFAL."
NAIL015,X,SU,rozsirujici,NS,,nevyučován (SIS 2026/27),"Korekvizita NAIL060. SIS uvádí stav „nevyučován"", rozvrh prázdný."
