kod,zkratka,relevance
NAIL069,Umělá inteligence 1,
NAIL070,Umělá inteligence 2,
NTIN066,Datové struktury 1,
NTIN090,Složitost a vyčíslitelnost,
NSZZ023,Diplomová práce I,
NSZZ024,Diplomová práce II,
NSZZ025,Diplomová práce III,
NAIL002,Neuronové sítě,
NAIL060,Implementace neuronových sítí 1,
NAIL013,Aplikace teorie neuronových sítí,
NAIL029,Strojové učení,
NPFL147,Statistické metody v NLP,
NAIL025,Evoluční algoritmy 1,
NAIL107,Strojové učení v bioinformatice,
NDBI023,Dobývání znalostí,
NAIL116,Sociální sítě a jejich analýza,
NAIL105,Internet a klasifikační metody,
NPFL138,Hluboké učení,
NPFL139,Hluboké zpětnovazební učení,
NMAI073,Pravděpodobnost a statistika 2,
NAIL104,Pravděpodobnostní grafické modely,
NAIL138,"Neuronové sítě, strojové učení a náhodnost",
NPFL140,Velké jazykové modely,
NAIL015,Implementace neuronových sítí 2,
NMAI060,Pravděpodobnostní metody,
NAIL099,Seminář strojového učení a modelování 1,
NPFL103,Vyhledávání informací,
NAIL086,Evoluční algoritmy 2,
NPRG071,Firemní projekt,
NPRG070,Výzkumný projekt,
NMSA331,Matematická statistika 1,
NMAI061,Metody matematické statistiky,
NAIL109,Aplikace metod výpočetní inteligence,
NPFL123,Dialogové systémy,
NDBI031,Statistické metody v dobývání znalostí,
NPFL097,Neřízené strojové učení v NLP,
NPFL099,Statistické dialogové systémy,
NAIL106,Multiagentní systémy,
NPGR036,Počítačové vidění,
NDBI048,Data Science,
NAIL004,Seminář z umělé inteligence 1,
NAIL052,Seminář z umělé inteligence 2,
NPFL104,Metody strojového učení,
NPFL117,Seminář z hlubokého učení,
NPFL118,NLP na výpočetním clusteru,
NAIL087,Úvod do výpočetní neurovědy I,
NAIL100,Seminář strojového učení a modelování 2,
NMAI165,Praktikum z pravděpodobnostních metod,
NDMI096,Analýza komplexních sítí,
NOPT046,Diskrétní a spojitá optimalizace,
NTIN114,Proudové algoritmy pro velká data,
NAIL021,Booleovské funkce,
NOPT021,Algoritmy teorie her,
NDBI021,Doporučovací systémy (pokročilé),
NSWI166,Doporučovací systémy (úvod),
NSWI035,Distribuované systémy,
NPRG072,Zvýšený rozsah projektu,
