kod,nazev,anglicky,semestr,kredity,rozsah,examinace,stav,forma,pracoviste,garant,vyucujici,neslucitelnost
NAIL069,Umělá inteligence 1,Artificial Intelligence 1,zimní,4,2/1,Z+Zk,vyučován,přednáška+cvičení,Katedra teoretické informatiky a matematické logiky (32-KTIML),"prof. RNDr. Roman Barták, Ph.D.","prof. RNDr. Roman Barták, Ph.D. RNDr. Jiří Fink, Ph.D. RNDr. Jiří Švancara, Ph.D.",
NTIN066,Datové struktury 1,Data Structures 1,oba,6,2/2,Z+Zk,vyučován,přednáška+cvičení,Katedra teoretické informatiky a matematické logiky (32-KTIML),"prof. Mgr. Michal Koucký, Ph.D. RNDr. Jiří Fink, Ph.D. Mgr. Martin Mareš, Ph.D.","RNDr. Jiří Fink, Ph.D. doc. Mgr. Petr Gregor, Ph.D. Mgr. Petr Chmel RNDr. David Mareček, Ph.D. Mgr. Pavel Veselý, Ph.D.",NTIX066
NTIN090,Základy složitosti a vyčíslitelnosti,Introduction to Complexity and Computability,zimní,4,2/1,Z+Zk,vyučován,přednáška+cvičení,Katedra teoretické informatiky a matematické logiky (32-KTIML),"prof. RNDr. Ondřej Čepek, Ph.D. RNDr. Petr Kučera, Ph.D.","RNDr. Petr Kučera, Ph.D. Mgr. Vladan Majerech, Dr.","NTIN062 , NTIX090 , NUPA038"
NAIL070,Umělá inteligence 2,Artificial Intelligence 2,letní,3,2/0,Zk,vyučován,přednáška,Katedra teoretické informatiky a matematické logiky (32-KTIML),"prof. RNDr. Roman Barták, Ph.D.","prof. RNDr. Roman Barták, Ph.D.",
NSZZ023,Diplomová práce I,Diploma Thesis I,oba,6,0/4,Z,vyučován,cvičení,Studijní oddělení (32-STUD),,,
NSZZ024,Diplomová práce II,Diploma Thesis II,oba,9,0/6,Z,vyučován,cvičení,Studijní oddělení (32-STUD),,,
NSZZ025,Diplomová práce III,Diploma Thesis III,oba,15,0/10,Z,vyučován,cvičení,Studijní oddělení (32-STUD),,,
NAIL002,Neuronové sítě,Neural Networks,zimní,8,4/2,Z+Zk,vyučován,přednáška+cvičení,Katedra teoretické informatiky a matematické logiky (32-KTIML),"doc. RNDr. Iveta Mrázová, CSc. RNDr. František Mráz, CSc.","RNDr. František Mráz, CSc. doc. RNDr. Iveta Mrázová, CSc.",NAIX002
NAIL060,Implementace neuronových sítí 1,Neural Networks Implementation 1,zimní,5,2/2,Z+Zk,nevyučován,přednáška+cvičení,Katedra teoretické informatiky a matematické logiky (32-KTIML),"RNDr. Petr Božovský, CSc.",,
NAIL013,Aplikace teorie neuronových sítí,Applications of Neural Networks Theory,letní,3,2/0,Zk,vyučován,přednáška,Katedra teoretické informatiky a matematické logiky (32-KTIML),"doc. RNDr. Iveta Mrázová, CSc.","RNDr. František Mráz, CSc. doc. RNDr. Iveta Mrázová, CSc.",
NAIL029,Strojové učení,Machine Learning,letní,3,2/0,Zk,vyučován,přednáška,Katedra teoretické informatiky a matematické logiky (32-KTIML),"Mgr. Marta Vomlelová, Ph.D.","Mgr. Marta Vomlelová, Ph.D.",
NPFL147,Statistické metody zpracování přirozených jazyků,Statistical Methods in Natural Language Processing,zimní,6,2/2,Z+Zk,vyučován,přednáška+cvičení,Ústav formální a aplikované lingvistiky (32-UFAL),"doc. RNDr. Pavel Pecina, Ph.D.","Mgr. Jindřich Helcl, Ph.D. doc. RNDr. Pavel Pecina, Ph.D.",
NAIL025,Evoluční algoritmy 1,Evolutionary Algorithms 1,zimní,5,2/2,Z+Zk,vyučován,přednáška+cvičení,Katedra teoretické informatiky a matematické logiky (32-KTIML),"Mgr. Roman Neruda, CSc.","Mgr. Roman Neruda, CSc. doc. Mgr. Martin Pilát, Ph.D.",
NAIL107,Strojové učení v bioinformatice,Machine Learning in Bioinformatics,letní,5,2/2,Z+Zk,vyučován,přednáška+cvičení,Katedra softwaru a výuky informatiky (32-KSVI),"RNDr. František Mráz, CSc.","RNDr. František Mráz, CSc.",
NDBI023,Dobývání znalostí,Data Mining,letní,5,2/2,Z+Zk,vyučován,přednáška+cvičení,Katedra teoretické informatiky a matematické logiky (32-KTIML),"doc. RNDr. Iveta Mrázová, CSc. RNDr. František Mráz, CSc.","RNDr. František Mráz, CSc. doc. RNDr. Iveta Mrázová, CSc.",
NAIL116,Sociální sítě a jejich analýza,Social networks and their analysis,zimní,5,2/2,Z+Zk,vyučován,přednáška+cvičení,Katedra teoretické informatiky a matematické logiky (32-KTIML),"doc. RNDr. Iveta Mrázová, CSc. RNDr. František Mráz, CSc.","RNDr. František Mráz, CSc. doc. RNDr. Iveta Mrázová, CSc.",
NAIL105,Internet a klasifikační metody,Internet and Classification Methods,letní,2,1/1,Z+Zk,vyučován,přednáška+bloková cvičení,Katedra teoretické informatiky a matematické logiky (32-KTIML),"prof. RNDr. Ing. Martin Holeňa, CSc.","Mgr. Vojtěch Bláha prof. RNDr. Ing. Martin Holeňa, CSc.",
NPFL138,Hluboké učení,Deep Learning,letní,8,3/4,Z+Zk,vyučován,přednáška+cvičení,Ústav formální a aplikované lingvistiky (32-UFAL),"RNDr. Milan Straka, Ph.D.","RNDr. Milan Straka, Ph.D.",NPFL114
NPFL139,Hluboké zpětnovazební učení,Deep Reinforcement Learning,letní,8,3/4,Z+Zk,vyučován,přednáška+cvičení,Ústav formální a aplikované lingvistiky (32-UFAL),"RNDr. Milan Straka, Ph.D.","RNDr. Milan Straka, Ph.D.",NPFL122
NMAI073,Pravděpodobnost a statistika 2,Probability and Statistics 2,zimní,5,2/2,Z+Zk,vyučován,přednáška+cvičení,Informatický ústav Univerzity Karlovy (32-IUUK),"doc. Mgr. Robert Šámal, Ph.D.","Mgr. Václav Rozhoň, Ph.D. doc. Mgr. Robert Šámal, Ph.D. Bc. Josef Tkadlec, Ph.D.",NMAX073
NAIL104,Pravděpodobnostní grafické modely,Probabilistic graphical models,zimní,3,2/0,Zk,vyučován,přednáška,Katedra teoretické informatiky a matematické logiky (32-KTIML),"Mgr. Marta Vomlelová, Ph.D.","Mgr. Marta Vomlelová, Ph.D.",
NAIL138,"Neuronové sítě, strojové učení a náhodnost","Neural networks, machine learning, and randomness",zimní,3,1/1,Z+Zk,vyučován,přednáška+cvičení,Katedra teoretické informatiky a matematické logiky (32-KTIML),"prof. RNDr. Ing. Martin Holeňa, CSc.","prof. RNDr. Ing. Martin Holeňa, CSc.",
NPFL140,Velké jazykové modely,Large Language Models,letní,3,0/2,Z,vyučován,seminář,Ústav formální a aplikované lingvistiky (32-UFAL),"Mgr. Jindřich Helcl, Ph.D. Mgr. Jindřich Libovický, Ph.D.","Mgr. et Mgr. Ondřej Dušek, Ph.D. Mgr. Jindřich Helcl, Ph.D. Ing. Zdeněk Kasner, Ph.D. Mgr. Jindřich Libovický, Ph.D. Mgr. Dominik Macháček, Ph.D. Mgr. Tomáš Musil, Ph.D. Mgr. Michal Novák, Ph.D. Mgr. Peter Polák, Ph.D. Mgr. Rudolf Rosa, Ph.D.",
NAIL015,Implementace neuronových sítí 2,Neural Networks Implementation 2,letní,5,2/2,Z+Zk,nevyučován,přednáška+cvičení,Katedra teoretické informatiky a matematické logiky (32-KTIML),"RNDr. Petr Božovský, CSc.",,
NMAI060,Pravděpodobnostní metody,Probabilistic Methods,zimní,3,2/0,Zk,vyučován,přednáška,Katedra softwarového inženýrství (32-KSI),"prof. RNDr. Jaromír Antoch, CSc.","prof. RNDr. Jaromír Antoch, CSc.",
NAIL099,Seminář strojového učení a modelování 1,Seminar of machine learning and modelling 1,zimní,2,0/1,Z,vyučován,seminář,Katedra teoretické informatiky a matematické logiky (32-KTIML),"prof. RNDr. Ing. Martin Holeňa, CSc.","prof. RNDr. Ing. Martin Holeňa, CSc.",
NPFL103,Vyhledávání informací,Information Retrieval,letní,5,2/2,Z+Zk,vyučován,přednáška+seminář,Ústav formální a aplikované lingvistiky (32-UFAL),"doc. RNDr. Pavel Pecina, Ph.D.","doc. RNDr. Pavel Pecina, Ph.D.",NPFX103
