kod,url_kurzu,url_vyucujici,dochazka,dochazka_doklad,nahravky,nahravky_doklad,zapocet,samostudium,poznamka,zdroj
NAIL002,"https://ksvi.mff.cuni.cz/~mraz/nn/ (staré veřejné slajdy) ; https://dl1.cuni.cz/course/enrol.php?id=2657 (Moodle, jen se zápisovým klíčem)",https://ksvi.mff.cuni.cz/~mraz/ ; https://ktiml.mff.cuni.cz/~mrazova/,bodovana,"SIS: „Na cvičeních lze získat dodatečné body za předvedení řešení úkolu zadaného na cvičení — 1 bod, za předvedení řešení úkolu zadaného a odevzdaného v Moodlu (po termínu odevzdání) — dolní celá část poloviny bodů.“ Zápočet dále vyžaduje „vypracovat a přednést řešení projektu na jednom z posledních cvičení nebo v termínu prezentací v zkouškovém období“.",castecne,"Veřejný podadresář ksvi.mff.cuni.cz/~mraz/nn/ je stará stránka téhož předmětu pod dřívějším kódem AIL002: „Neurónové siete AIL002 — Sylabus — Slidy k prednáške: Úvod / Perceptron / Vrstevnaté neuronové sítě / Interní reprezentace znalostí / … / Genetické algoritmy“. Deset PDF Neuronove_Site_Prednaska_*.pdf ověřeno HTTP 200, plus materiály na cvičení (NNCvicenie1_11.pdf–NNCvicenie5.pdf, úvod do MATLABu). Stránka je stará — doslova uvádí „Písomky sa budú konať v rámci prednášky 9.11.2009 a 14.12.2009 v posluchárni S3“. Nahrávky přednášek se nezmiňují nikde (ani ~mraz/, ani ~mrazova/, ani SIS); Moodle DL1 id=2657 je za CAS přihlášením.",3 úkoly v Moodlu (každý ≥1 b) + prezenčně přednesený projekt; on-line testy nepovinné,"stredni - přednášku lze dohnat, ale projekt se musí přednést osobně a 2 on-line testy se píší v rámci cvičení v pevných termínech","Cvičení dává 35 % známky, dva on-line testy po 10 %, zkouška 45 %. Pozdní odevzdání −1 b/týden, náhradní termíny zápočtu se nevypisují. Přednáška 2× týdně. Stránka Mráze naposledy aktualizována 19. 10. 2016, Mrázové 2. 5. 2010.",SIS podmínky + https://ksvi.mff.cuni.cz/~mraz/
NAIL004,http://ktiml.mff.cuni.cz/~bartak/ui_seminar/,http://ktiml.mff.cuni.cz/~bartak/,povinna,"SIS (Barták, 15.09.2020): „Zápočet je udělen za vlastní prezentaci a aktivní účast na minimálně 80% seminářů. Po schválení vyučujícím a pouze ve zvláštních případech, je možné prezentaci a osobní účast nahradit písemnou zprávou. Zápočet se opakovat nedá.“ Stránka semináře, sekce Zápočet: „Zápočet je udělen za aktivní přístup k semináři. Přesná charakteristika ‚aktivního přístupu‘ bude určena vždy na začátku semestru podle konkrétní podoby semináře.“",ne,"Stránka semináře nahrávky nezmiňuje; zveřejňují se jen pdf slidy některých referátů a odkazy „video“ u pre-recorded konferenčních přednášek (AAAI), ne záznam semináře.",vlastní prezentace (referát o výzkumném článku) + aktivní účast na ≥80 % seminářů; ve zvláštních případech a po schválení vyučujícím lze prezentaci i osobní účast nahradit písemnou zprávou,nereálné - zápočet je přímo na docházce a na prezentaci před ostatními; jedinou únikovou cestou je výjimka schválená Bartákem,"0/2 Z, ZS, 3 kr (referativní seminář; SIS uvádí „Podoba výuky: seminář“). Společná stránka s NAIL052 (LS). Metody výuky (SIS): „Referativní seminář, kde studenti prezentují výsledky své práce nebo nastudované z literatury.“ V LS 2025/26 běžel seminář anglicky jako série 50min prezentací článků s Q&A.",SIS NAIL004 + http://ktiml.mff.cuni.cz/~bartak/ui_seminar/ (staženo 2026-08-29)
NAIL013,"https://ksvi.mff.cuni.cz/~mraz/atns/ (veřejné slajdy) ; https://dl1.cuni.cz/course/view.php?id=3013 (Moodle, jen po přihlášení CAS)",https://ktiml.mff.cuni.cz/~mrazova/ ; https://ksvi.mff.cuni.cz/~mraz/,nerelevantni,"SIS: rozsah 2/0, forma „přednáška“, zakončení Zk. Podmínky: „V doprovodném Moodle-kurzu bude zveřejněn (jeden) projektový úkol, jeho harmonogram i hodnocení.“ — o docházce ani cvičení nic.",castecne,"Nalezena veřejná stránka kurzu ksvi.mff.cuni.cz/~mraz/atns/ (bez přihlášení): „Aplikace teorie neuronových sítí - NAIL013 — Doc. RNDr. I. Mrázová, CSc. — Sylabus NAIL013 — Slídy k přednášce — Nové slidy: Tradiční přístupy / Modely založené na samoorganizaci / Asocioativní paměti a restaurace obrazu / Podpůrné vektorové stroje – Support vector machines / Modulární architektury / Zpracování časových vzorů (Temporal Processing) — Staré slidy: …“ Šest PDF ATNS_Prednaska_*.pdf ověřeno HTTP 200. Nahrávky přednášek nikde zmíněny nejsou.",bez zápočtu; projektový úkol v Moodlu 55 % + zkouška 45 %,"snadne - jediný odevzdávaný výstup je projekt v Moodlu, docházka se nikde nevyžaduje","Pozdní odevzdání dílčí fáze projektu −1 % z celkového hodnocení za každý započatý týden. Známka 1 od 86 %, 2 od 71 %, 3 od 56 %.","SIS podmínky + https://ksvi.mff.cuni.cz/~mraz/atns/ + dl1.cuni.cz (kurz id=3013, uzavřený)"
NAIL015,http://ktiml.mff.cuni.cz/~bozovsky/cz/index.htm,http://ktiml.mff.cuni.cz/~bozovsky/,povinna,"SIS: „Nedílnou součástí zápočtu je i dostatečná účast na semináři, kde probíhá rozbor úloh a průběžná diskuze.“ (Akademická otázka — předmět se neučí.)",ne,"Stejná stránka jako NAIL060: statická jednostránka s copyrightem „© 2003-2010“, bez videí a bez aktuálních materiálů.",prezentace vlastních fungujících programů + dostatečná účast na semináři,"nezjisteno – předmět se neučí, není co dohánět","POTVRZENO, ŽE SE NEUČÍ: SIS uvádí „nevyučován“ a žádné vyučující. Rozvrh LS 2027 SIS zatím nevypsal, takže rozvrhem to ověřit nelze — rozhodující je stav předmětu a mrtvá stránka vyučujícího. NAIL060 je jeho korekvizitou, takže bez prvního dílu by nešel zapsat ani kdyby se otevřel.",http://ktiml.mff.cuni.cz/~bozovsky/cz/index.htm
NAIL025,https://martinpilat.com/cs/evolucni-algoritmy/ (cvičení) ; https://ktiml.mff.cuni.cz/~neruda/ (přednáška),https://martinpilat.com/ ; https://ktiml.mff.cuni.cz/~neruda/,neresi_se,Pilát: „Úkoly se odevzdávají v Moodle předmětu. … Pro získání zápočtu je třeba mít aspoň 36 bodů na konci semestru.“ Docházka mezi požadavky na zápočet uvedena není (na rozdíl od NAIL086 téhož vyučujícího).,castecne,"Neruda: „EVA 1 (NAIL025): slajdy k přednášce [pdf] … lecture notes in english [pdf]“ (eva1-16cz.pdf, eva1-16en.pdf). Videozáznamy nikde.","≥36 z 55 bodů za 11 úkolů odevzdávaných v Moodlu, termín ~2 týdny","snadne - kompletní slajdy i anglická skripta jsou veřejně, úkoly se odevzdávají do Moodlu s dvoutýdenními termíny","Za odevzdání do 2 týdnů po termínu je polovina bodů. Bonusové body za nejlepší řešení / rozšířené zadání, některé jen do dalšího cvičení. Slajdy přednášky jsou z AR 2016/17 (eva1-16), novější na webu nejsou.",https://martinpilat.com/cs/evolucni-algoritmy/
NAIL029,"https://dl1.cuni.cz/course/view.php?id=5765 (Moodle, hostovský přístup bez přihlášení)",https://ktiml.mff.cuni.cz/~marta/,nerelevantni,"SIS: rozsah 2/0, forma „přednáška“, jen Zk. „Pro úspěšné absolvování je třeba složit ústní zkoušku z témat obsažených v sylabu v rozsahu předneseném na přednášce.“",ano,"Moodle, sekce Archive: „Recordings from the year 2021 — česky strojoveuceni2021.zip, English machinelearning2021.zip“.","bez zápočtu; pouze ústní zkouška, část zkoušek může být distanční","snadne - Moodle je otevřený hostům, obsahuje kompletní slajdy, demo notebooky i nahrávky přednášek","Nahrávky jsou z roku 2021, slajdy jsou aktuální (verze 24. 3. 2026, EM slajdy 1. 4. 2026). V Moodlu jsou i průběžné kvízy („Test“), které ale nejsou podmínkou zakončení. Zkouška je vymezena rozsahem předneseným na přednášce.",https://dl1.cuni.cz/course/view.php?id=5765
NAIL052,http://ktiml.mff.cuni.cz/~bartak/ui_seminar/,http://ktiml.mff.cuni.cz/~bartak/,povinna,"Stránka semináře, „Seminar LS 2025/2026 (NAIL052)“: „To get the credit, student is supposed to give one presentation, and to actively participate in at least 10 seminars (one more seminar may be missed in exchange for a written report).“ SIS (Barták, 28.04.2020): „Zápočet je udělen za vlastní prezentaci a aktivní účast na minimálně 80% seminářů... Zápočet se opakovat nedá.“",ne,"Stránka semináře nahrávky nezmiňuje; u části programu jsou jen pdf slidy referátů, popř. „video“ u pre-recorded konferenčních přednášek (Peter Stone AAAI 2026, Andrew Ng AAAI 2025).",jedna vlastní prezentace výzkumného článku (50 min + Q&A) a aktivní účast na alespoň 10 seminářích (jedna absence navíc výměnou za písemnou zprávu),nereálné - docházka je explicitně počítaná (min. 10 seminářů) a prezentace se koná osobně,"0/2 Z, LS, 3 kr, Barták + Švancara. V LS 2025/26 blok Středa 10:00-15:30, S11, anglicky. Program tvoří referáty studentů o článcích (MAPF, hierarchické plánování, LLM, GraphCast apod.) - k semináři je vhodné mít téma blízké diplomce.",SIS NAIL052 + http://ktiml.mff.cuni.cz/~bartak/ui_seminar/ (staženo 2026-08-29)
NAIL060,http://ktiml.mff.cuni.cz/~bozovsky/cz/index.htm,http://ktiml.mff.cuni.cz/~bozovsky/,povinna,"SIS: „Nedílnou součástí zápočtu je i dostatečná účast na semináři, kde probíhá rozbor úloh a průběžná diskuze.“ (Akademická otázka — předmět se neučí.)",ne,"Na stránce Božovského jsou jen tři statické odkazy (Backpropagation, Kohonenovy mapy, Slajdy) a copyright „© 2003-2010“; žádná videa, žádné aktuální materiály.",prezentace vlastních fungujících programů + dostatečná účast na semináři,"nezjisteno – předmět se neučí, není co dohánět","POTVRZENO, ŽE SE NEUČÍ: SIS karta uvádí „Stav předmětu: nevyučován“, vyučující nejsou uvedeni (jen garant Božovský), a v data/rozvrh.csv pro ZS 2026/27 nemá jediný rozvrhový lístek. Osobní stránka vyučujícího existuje, ale je statická s copyrightem 2003-2010 a bez jakékoli aktuální informace. Je korekvizitou pro NAIL015. Okruh NS se o tenhle předmět opřít nedá.",http://ktiml.mff.cuni.cz/~bozovsky/cz/index.htm
NAIL069,https://ktiml.mff.cuni.cz/~bartak/ui/ (přednáška) ; https://ktiml.mff.cuni.cz/~svancara/teaching/ai-1/ (cvičení),https://ktiml.mff.cuni.cz/~bartak/ ; https://ktiml.mff.cuni.cz/~svancara/,neresi_se,"Švancara: „To obtain the credit, it is necessary to collect 60 points for the assignments (see below). … Solutions to the assignments are submitted via ReCodEx.“ Docházka mezi podmínkami zápočtu není.",castecne,Bartákova stránka nabízí ke každé přednášce PDF slajdů (anglická sada ZS 2025/26 i česká z minulých let) a PDF kvízu; o videozáznamech nic.,60 ze 100 bodů za 5 implementačních úloh odevzdávaných do ReCodExu,snadne - všechny slajdy jsou veřejné a zápočet je čistě ReCodEx; úlohy mají dva termíny (po prvním 50 % penalizace),"Úlohy: Dino 10 b, Ms. Pac-Man 20 b, Sokoban 20 b, Cell Wars 25 b, Minesweeper 25 b; kódy na github.com/MatousMarik/AI. Přednáška běží ve dvou jazykových variantách (česky Po, anglicky Út). Zkouška prezenčně: 15 min písemně + 15 min ústně, bez pomůcek, požadavky v Exam_Requirements.pdf.",https://ktiml.mff.cuni.cz/~svancara/teaching/ai-1/
NAIL070,https://ktiml.mff.cuni.cz/~bartak/ui2/,https://ktiml.mff.cuni.cz/~bartak/,nerelevantni,"Stránka kurzu: „NAIL070, 2/0 Zk, letní semestr“ — jen přednáška. SIS: „Předmět je zakončen ústní zkouškou, která může být ve výjimečných případech distanční.“",castecne,"Ke každé z 11 přednášek je PDF slajdů (anglická sada LS 2025/26) a PDF kvízu, plus kompletní česká sada z minulých let; videozáznamy stránka nezmiňuje.",bez zápočtu; pouze zkouška,"snadne - kompletní slajdy i kvízy jsou veřejné, žádný průběžný výstup se neodevzdává","„The course is given in English“ (české slajdy z minulých let k dispozici). Zkouška: „Exams will be in person“ — 15 min písemně + 15 min ústní obhajoba, odpovídat lze česky/slovensky nebo anglicky.",https://ktiml.mff.cuni.cz/~bartak/ui2/
