okruh,tema,kod,sila,doklad
SU,Učení s učitelem a bez učitele,NAIL029,hlavni,"učení bez učitele - nákupní košík (Apriori alg.), klastrování k-means, k-medoids, hierarchické"
SU,Učení s učitelem a bez učitele,NAIL070,castecne,"Strojové učení: učení s učitelem, rozhodovací stromy, regrese, SVM, boosting; prohledávání prostoru hypotéz"
SU,Učení s učitelem a bez učitele,NAIL107,castecne,"3. Metody učení s učitelem: klasifikace (rozhodovací stromy, Bayesovké klasifikátory, logistická regrese, diskriminační analýza, metoda nejbližších sousedů, Support vector machines, neuronově sítě, kombinování klasifikátorů - boosting)"
SU,Učení s učitelem a bez učitele,NDBI023,castecne,"Základní principy strojového učení – učení s učitelem, samoorganizace, částečně řízené učení (semi-supervised learning)"
SU,Učení s učitelem a bez učitele,NAIL138,castecne,"Učení s učitelem a bez učitele, posilované učení. Nejznámější metody učení s učitelem."
SU,Zpětnovazební učení,NPFL139,hlavni,"Cílem kurzu je seznámení se zpětnovazebním učením využívajícím hluboké neuronové sítě, se zaměřením jak na teorii, tak na skutečnou implementaci."
SU,Zpětnovazební učení,NAIL070,castecne,"učení pravděpodobnostních modelů, EM algoritmus; zpětnovazební učení."
SU,Zpětnovazební učení,NPFL138,okrajove,Úvod do hlubokého zpětnovazebního učení
SU,Zpětnovazební učení,NAIL025,okrajove,"Učení pravidel ""if-then"", makléřský algoritmus, Q-učení, produkční systémy."
SU,Zpětnovazební učení,NAIL138,okrajove,"Učení s učitelem a bez učitele, posilované učení."
SU,Teoretické aspekty strojového učení,NAIL029,castecne,"ohodnocování modelů (odhad chyby a interval spolehlivosti, krosvalidace, one-leave-out)"
SU,Teoretické aspekty strojového učení,NAIL138,castecne,"Silný zákon velkých čísel pro učení neuronových sítí, předpoklady a tvrzení. Centrální limitní věta pro učení neuronových sítí, předpoklady a tvrzení."
SU,Teoretické aspekty strojového učení,NAIL002,okrajove,"over-fitting and over-sizing, Vapnik-Chervonenkisova dimenze"
SU,Teoretické aspekty strojového učení,NAIL099,okrajove,"Statistické učení, PAC učení."
SU,Neorientované grafické modely,NAIL029,castecne,"pravděpodobnostní přístupy; neorientované grafické modely, gaussovské procesy a bayesovská optimalizace."
SU,Neorientované grafické modely,NAIL104,castecne,"5) neorientované grafické modely,"
SU,Neorientované grafické modely,NAIL107,okrajove,"5. Pravděpodobnostní grafické modely (Bayesovské sítě, Gaussovské sítě) a jejich aplikace (v genomice a systémové biologii)."
SU,Gaussovské procesy,NAIL029,castecne,gaussovské procesy a bayesovská optimalizace
SU,Gaussovské procesy,NAIL138,okrajove,"Náhradní modely založené na umělých neuronových sítích, gaussovských procesech, náhodných lesech a ordinální regresi."
SU,Základní pojmy evolučních algoritmů,NAIL025,hlavni,"Modely evoluce - základní přístupy a pojmy. Populace, rekombinace. Ohodnocení úspěšnosti individua. · Genetické algoritmy. Zakódování řešené problému do chromozómu. Základní genetické operace, selekce, křížení, mutace."
SU,Základní pojmy evolučních algoritmů,NAIL002,castecne,"6. Genetické algoritmy · Formulace optimalizačního problému, populace jedinců, základní genetické operátory - selekce, křížení, mutace."
SU,Základní pojmy evolučních algoritmů,NAIL086,castecne,"Evoluční strategie, kooperace individuí, (1+1) ES, (m+1) ES, rychlost konvergence."
SU,Hypotéza o stavebních blocích,NAIL025,hlavni,"Reprezentační schemata, vlastnosti, věta o schematech. Hypotéza o stavebních blocích. Věta o implicitním paralelismu."
SU,Hypotéza o stavebních blocích,NAIL002,okrajove,Analýza konvergence - věta o schematech.
SU,Aplikace evolučních algoritmů,NAIL086,hlavni,"EA a kombinatorické problémy. Řešení NP-úplných úloh, problém obchodního cestujícího, problém batohu."
SU,Aplikace evolučních algoritmů,NAIL025,castecne,"Klasifikační systémy, adaptivní chování. Celulární automaty. Řešení kombinatorických problémů."
SU,Aplikace evolučních algoritmů,NAIL138,castecne,"Stochastické optimalizační algoritmy, evoluční algoritmus CMA-ES (covariance matrix adaptation evolution strategy)."
SU,Aplikace evolučních algoritmů,NAIL002,okrajove,Aplikace genetických algoritmů v oblasti umělých neuronových sítí.
SU,Strojové učení v počítačové lingvistice,NPFL147,hlavni,Cílem je seznámit posluchače se základními pojmy z počítačové lingvistiky a se základy pravděpodobnostních a statistických metod pro jazykové modelování.
SU,Strojové učení v počítačové lingvistice,NPFL138,castecne,"Zpracování přirozeného jazyka · Distribuovaná reprezentace slov · Reprezentace slov jako sekvence znaků · Transformer architektura · Přístupy pro morfologické značkování, rozpoznávání pojmenovaných entit, strojový překlad"
SU,Strojové učení v počítačové lingvistice,NPFL140,castecne,"Předmět se věnuje velkým neuronovým jazykovým modelům. Pokrývá související teoretické koncepty, technické základy fungování a využití jazykových modelů."
SU,Strojové učení v počítačové lingvistice,NPFL103,okrajove,Jazykové modely · Klasifikace textu · Shlukování dokumentů
SU,Markovské modely biologických sekvencí,NPFL147,castecne,"5. Skryté Markovovy modely, značkování (tagging)"
SU,Markovské modely biologických sekvencí,NAIL104,castecne,"2) bayesovské sítě, skryté markovské modely,"
SU,Markovské modely biologických sekvencí,NAIL070,okrajove,"Práce s neurčitostí: pravděpodobnostní metody, Bayesovské sítě, Markovské modely."
SU,Strategie pro detekci genů,NAIL107,okrajove,"její aplikace v genomice, proteomice a systémové biologii"
SU,Predikce struktury proteinů,NAIL107,okrajove,"její aplikace v genomice, proteomice a systémové biologii"
SU,Hledání motivů v DNA,NAIL107,okrajove,Cílem přednášky je představit několik oblastí využití strojového učení při zpracování biologických dat.
NS,Modely pro učení s učitelem,NAIL002,hlavni,3. Dopředné sítě a algoritmus zpětného šíření · Algoritmus zpětného šíření - odvození adaptačních pravidel.
NS,Modely pro učení s učitelem,NPFL138,hlavni,Dopředné hluboké neuronové sítě · Základní architektury a aktivační funkce · Optimalizační algoritmy pro trénování hlubokých modelů
NS,Modely pro učení s učitelem,NAIL060,castecne,Metody a techniky implementace základních modelů neuronových sítí. Backpropagation.
NS,Modely pro učení s učitelem,NAIL013,castecne,"Rekapitulace vybraných paradigmat NS (vrstevnaté neuronové sítě typu zpětného šíření, Hopfieldovy sítě, Kohonenovy mapy, hluboké neuronové sítě)."
NS,Algoritmus zpětného šíření,NAIL002,hlavni,"Algoritmus zpětného šíření - odvození adaptačních pravidel. Trénovací, testovací a validační množina, různé strategie učení."
NS,Algoritmus zpětného šíření,NAIL060,castecne,Metody a techniky implementace základních modelů neuronových sítí. Backpropagation.
NS,Algoritmus zpětného šíření,NPFL138,castecne,Optimalizační algoritmy pro trénování hlubokých modelů
NS,Strategie pro urychlení učení,NAIL060,hlavni,"Zvyšování efektivity modelů, příbuzné a odvozené modely. Volba modelu, topologie a velikosti sítě. Adaptivní strategie optimalizace sítí."
NS,Strategie pro urychlení učení,NAIL002,castecne,"Trénovací, testovací a validační množina, různé strategie učení."
NS,Strategie pro urychlení učení,NPFL138,castecne,Optimalizační algoritmy pro trénování hlubokých modelů · Regularizace hlubokých modelů
NS,Strategie pro urychlení učení,NAIL138,castecne,Stochastický gradient. Stochastická metoda největšího spádu (SGD). Předpoklady a strategie metody SGD.
NS,Regularizace a generalizace,NPFL138,hlavni,Regularizace hlubokých modelů · Klasická regularizace využívající penalizaci normou parametrů · Dropout · Label smoothing · Batch normalization · Víceúlohové učení
NS,Regularizace a generalizace,NAIL002,castecne,"Interní reprezentace znalostí, generalizace, over-fitting and over-sizing, Vapnik-Chervonenkisova dimenze."
NS,Regularizace a generalizace,NAIL013,castecne,"Přednáška je zaměřena na hlubší pochopení vlastností a funkcí vybraných modelů neuronových sítí - robustnost, generalizační schopnosti ap."
NS,Regularizace a generalizace,NAIL138,castecne,"Dropout a učení sítě, dropout a regularizace. Dropout a týmy neuronových sítí."
NS,Asociativní paměti a Hebbovské učení,NAIL002,hlavni,"4. Asociativní sítě · Umělé neuronové sítě se zpětnou vazbou, Hebbovské učení, kapacita paměti, atraktory, energetická funkce a konvergence ke stabilním stavům. · Asociativní paměti, bidirektivní asociativní paměť (BAM), Hopfieldův model, spojitý Hopfieldův model, simulované žíhání, Boltzmannův stroj. · Použití Hopfieldovy sítě k hledání suboptimálních řešení NP-úplných problémů."
NS,Asociativní paměti a Hebbovské učení,NAIL015,castecne,"Metody a techniky implementace základních modelů neuronových sítí. Kohonenovy mapy, Hopfieldova síť. Neurální formulace úloh, transformace zadání."
NS,Asociativní paměti a Hebbovské učení,NAIL013,okrajove,"Rekapitulace vybraných paradigmat NS (vrstevnaté neuronové sítě typu zpětného šíření, Hopfieldovy sítě, Kohonenovy mapy, hluboké neuronové sítě)."
NS,Stochastické modely neuronových sítí,NAIL138,hlavni,"2. Umělé neuronové sítě založené na náhodnosti · ELM (extreme learning machine) sítě. Učení ELM sítí, optimalizační úloha pro učení ELM sítí. ELM sítě a náhodná projekce. Znáhodněné konvoluční neuronové sítě. ESN (echo state network) sítě."
