kod,tagy
NAIL069,ai
NTIN066,teorie|data
NTIN090,teorie
NAIL070,ml|ai|stat
NSZZ023,diplomka|praxe
NSZZ024,diplomka|praxe
NSZZ025,diplomka|praxe
NAIL002,nn|ml
NAIL060,nn|praxe
NAIL013,nn|ml|evoluce
NAIL029,ml|stat
NPFL147,nlp|stat
NAIL025,evoluce|ml
NAIL107,bio|ml
NDBI023,data|ml|stat
NAIL116,grafy|data|ml
NAIL105,ml|data
NPFL138,nn|ml|videni|nlp
NPFL139,rl|nn|ml
NMAI073,stat|teorie
NAIL104,stat|ml|ai
NAIL138,nn|ml|stat|evoluce
NPFL140,nlp|nn|ml
NAIL015,nn|praxe
NMAI060,stat|teorie
NAIL099,praxe|ml
NPFL103,data|nlp|ml
NAIL086,evoluce|nn
NPRG071,praxe
NPRG070,praxe
NMSA331,stat|teorie
NPGR035,videni|ml
NPGR002,videni|ml
NAIL065,evoluce|nn|praxe
NMAI061,stat|teorie
NAIL109,ml|evoluce|praxe
NPFL123,nlp|ml|ai
NDBI031,stat|data
NPFL097,nlp|ml|stat
NPFL099,nlp|nn|rl
NAIL106,ai
NPGR036,videni|ml
NDBI048,data|ml|stat
NAIL004,praxe|ai|ml
NAIL052,praxe|ai|ml
NPFL104,ml|praxe
NPFL117,nn|praxe
NPFL118,praxe|data|nlp
NAIL087,bio|nn
NAIL100,praxe|ml
NMAI165,stat|praxe
NDMI096,grafy|teorie
NOPT046,teorie|grafy
NTIN114,teorie|data
