kod,ucitel,role,paralelek,bloku
NAIL002,Mráz František,cvičení,2,2
NAIL002,Mrázová Iveta,přednáška,1,2
NAIL004,Barták Roman,cvičení,1,1
NAIL021,Čepek Ondřej,přednáška,1,1
NAIL025,Neruda Roman,přednáška,1,1
NAIL025,Pilát Martin,cvičení,3,3
NAIL069,Barták Roman,přednáška,2,2
NAIL069,Fink Jiří,cvičení,2,2
NAIL069,Mestek Jakub,cvičení,1,1
NAIL069,Švancara Jiří,cvičení,2,2
NAIL087,Antolík Ján,přednáška,1,1
NAIL087,Studeničová Katarína,cvičení,1,1
NAIL099,Holeňa Martin,cvičení,1,1
NAIL104,Vomlelová Marta,přednáška,1,1
NAIL109,Neruda Roman,cvičení,1,2
NAIL116,Mráz František,cvičení,2,2
NAIL116,Mrázová Iveta,přednáška,1,1
NDBI021,Peška Ladislav,cvičení,1,1
NDBI021,Peška Ladislav,přednáška,1,1
NDBI048,Holubová Irena,cvičení,1,1
NDBI048,Holubová Irena,přednáška,1,1
NMAI060,Antoch Jaromír,přednáška,2,2
NMAI073,Rozhoň Václav,přednáška,1,1
NMAI073,Tkadlec Josef,cvičení,2,2
NMAI165,Antoch Jaromír,cvičení,1,1
NMSA331,Komárek Arnošt,přednáška,1,2
NMSA331,Omelka Marek,cvičení,1,1
NMSA331,Ranošová Hedvika,cvičení,1,1
NOPT021,Schmid Martin,přednáška,1,1
NPFL097,Mareček David,cvičení,1,1
NPFL097,Mareček David,přednáška,1,1
NPFL099,Dušek Ondřej,cvičení,1,1
NPFL099,Dušek Ondřej,přednáška,1,1
NPFL147,Helcl Jindřich,cvičení,1,1
NPFL147,Pecina Pavel,přednáška,1,1
NPGR002,Flusser Jan,přednáška,1,1
NPGR035,Bouali Kassem Anis,cvičení,3,3
NPGR035,Šikudová Elena,přednáška,2,2
NPRG070,Bednárek David,cvičení,1,1
NSWI035,Faltín Tomáš,přednáška,1,1
NSWI035,Zavoral Filip,přednáška,1,1
NTIN066,Chmel Petr,cvičení,1,1
NTIN066,Domes Tomáš,cvičení,1,1
NTIN066,Fink Jiří,cvičení,4,4
NTIN066,Fink Jiří,přednáška,1,1
NTIN066,Veselý Pavel,cvičení,1,1
NTIN090,Kučera Petr,cvičení,4,4
NTIN090,Kučera Petr,přednáška,2,2
NTIN090,Majerech Vladan,cvičení,3,3
