kod,vyucujici,role,uci_v_zs,obdobi_pocet,prvni_rok,posledni_rok,roky,obdobi,odpovedi,prumer_vyucujici,prumer_predmet,komentaru,zdroj
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,1,15,2003,2025,2003Z|2007Z|2008Z|2011Z|2013Z|2015Z|2016Z|2017Z|2018Z|2020Z|2021Z|2022Z|2023Z|2024Z|2025Z,2003 / zimní|2007 / zimní|2008 / zimní|2011 / zimní|2013 / zimní|2015 / zimní|2016 / zimní|2017 / zimní|2018 / zimní|2020 / zimní|2021 / zimní|2022 / zimní|2023 / zimní|2024 / zimní|2025 / zimní,141,,,5,anketa_cisla
NAIL002,"RNDr. František Mráz, CSc.",cvičení,1,14,2006,2024,2006Z|2007Z|2008Z|2011Z|2013Z|2014Z|2015Z|2016Z|2017Z|2018Z|2020Z|2021Z|2023Z|2024Z,2006 / zimní|2007 / zimní|2008 / zimní|2011 / zimní|2013 / zimní|2014 / zimní|2015 / zimní|2016 / zimní|2017 / zimní|2018 / zimní|2020 / zimní|2021 / zimní|2023 / zimní|2024 / zimní,139,,"1,67",7,anketa_cisla
NAIL002,,cvičení,0,0,2023,2025,2023|2024|2025,,0,,,5,komentare
NAIL002,,přednáška,0,0,2023,2025,2023|2024|2025,,0,,,9,komentare
NAIL002,"RNDr. František Mráz, CSc.",přednáška,0,7,2015,2024,2015Z|2016Z|2017Z|2018Z|2021Z|2023Z|2024Z,2015 / zimní|2016 / zimní|2017 / zimní|2018 / zimní|2021 / zimní|2023 / zimní|2024 / zimní,54,,"1,80",3,anketa_cisla
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",cvičení,0,8,2015,2024,2015Z|2016Z|2017Z|2018Z|2020Z|2021Z|2023Z|2024Z,2015 / zimní|2016 / zimní|2017 / zimní|2018 / zimní|2020 / zimní|2021 / zimní|2023 / zimní|2024 / zimní,77,,,1,anketa_cisla
NAIL004,"prof. RNDr. Roman Barták, Ph.D.",cvičení,1,4,2014,2024,2014Z|2019Z|2023Z|2024Z,2014 / zimní|2019 / zimní|2023 / zimní|2024 / zimní,24,,"1,04",0,anketa_cisla
NAIL004,,seminář,0,0,2023,2024,2023|2024,,0,,,5,komentare
NAIL004,"doc. RNDr. Pavel Surynek, Ph.D.",cvičení,0,4,2014,2024,2014Z|2019Z|2023Z|2024Z,2014 / zimní|2019 / zimní|2023 / zimní|2024 / zimní,24,,,0,anketa_cisla
NAIL004,"prof. RNDr. Roman Barták, Ph.D.",seminář,0,0,2023,2024,2023|2024,,0,,,2,komentare
NAIL013,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,0,2,2011,2018,2011L|2018L,2011 / letní|2018 / letní,12,,,0,anketa_cisla
NAIL015,"RNDr. Petr Božovský, CSc.",cvičení,0,1,2014,2014,2014L,2014 / letní,6,,,0,anketa_cisla
NAIL015,"RNDr. Petr Božovský, CSc.",přednáška,0,1,2014,2014,2014L,2014 / letní,6,,,0,anketa_cisla
NAIL021,"prof. RNDr. Ondřej Čepek, Ph.D.",přednáška,1,3,2013,2015,2013Z|2014Z|2015Z,2013 / zimní|2014 / zimní|2015 / zimní,22,,,1,anketa_cisla
NAIL021,,přednáška,0,0,2025,2025,2025,,0,,,1,komentare
